model,varian,accuracy,acc_std,macro_f1,f1_std,tau_mean
acuan (topik saja),apa adanya (argmax),0.41635533416355336,0.007495006262045578,0.12636396274843031,0.008797348958769973,0.0
acuan (topik saja),+ fallback teks kosong,0.41635533416355336,0.007495006262045578,0.12636396274843031,0.008797348958769973,0.0
acuan (topik saja),+ kalibrasi prior (tau),0.3470319634703196,0.017295696684100994,0.15668031289342213,0.005007664546589548,0.41333333333333333
acuan (topik saja),+ keduanya,0.37193856371938566,0.011785030773415014,0.16415442592268648,0.002870824624695598,0.41333333333333333
topik + emosi,apa adanya (argmax),0.4167704441677045,0.00922628093436814,0.1292495635704433,0.007127133662944105,0.0
topik + emosi,+ fallback teks kosong,0.4196762141967622,0.005661345660849254,0.1294895131371687,0.006791450545912365,0.0
topik + emosi,+ kalibrasi prior (tau),0.3437110834371109,0.017815910115296752,0.16099558048861726,0.004961140193994058,0.44666666666666666
topik + emosi,+ keduanya,0.37691988376919877,0.016902675858449425,0.17058000960391295,0.0039044081338051053,0.44666666666666666
