tahap,accuracy,macro_f1
0. acuan: TF-IDF gabungan + konsep,0.42341220423412207,0.13514848756954492
1. probabilitas emosi SAJA (padat),0.3549190535491905,0.11348805545111973
1b. probabilitas emosi SAJA (penuh),0.3561643835616438,0.1139304905994158
2. leksikon InSet SAJA,0.3125778331257783,0.08024680908417575
3. emosi padat + InSet,0.32503113325031135,0.1338196653367692
4. TF-IDF pada teks PADAT saja,0.3960149439601494,0.08366588668419106
5. acuan + emosi padat,0.42714819427148193,0.13548501977436203
6. acuan + emosi penuh,0.40224159402241594,0.13475577436397473
7. acuan + emosi padat + InSet,0.3972602739726027,0.1385313903835033
